Sample_ID,taxon,taxonomic_level,assigned_taxon_class,reads,extraction_ID,primer,PCR_replicate,alternative_ID,collection_year,collection_month,collection_day,location3,sample_type
e02801-2-18S,Agaricales,order,Fungi,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Agaricomycetes,class,Fungi,403,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Amylocorticium cebennense,species,Fungi,618,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Ascomycota,phylum,Fungi,137,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Auranticordis quadriverberis,species,Imbricatea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Basidiomycota,phylum,Fungi,704,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Cercozoa,phylum,Imbricatea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Chaetoceros,genus,Bacillariophyceae,87.21079016,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Curvibasidium,genus,Fungi,3651,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Cyranomonas australis,species,Imbricatea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Decapoda,order,Decapod,14256.2303,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Dichomitus squalens,species,Fungi,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Ebria tripartita,species,Ebriophyceae,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Gastropoda,class,Gastropoda,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Mamiellaceae,family,Mamiellophyceae,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Mammalia,class,Mammalia,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Mataza hastifera,species,Thecofilosea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Pleurocybella porrigens,species,Fungi,292,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Polychaeta,class,Polychaeta,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Schizoporaceae,family,Fungi,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Strombidium biarmatum,species,Spirotrichea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Thaumatomonadida,order,Imbricatea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Tintinnidium cf. primitivum,species,Spirotrichea,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Tremellales,order,Fungi,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Triparmaceae,family,Bolidophyceae,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,NA,NA,NA,0,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
e02802-1-18S,Actinopteri,class,Actinopteri,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Agaricales,order,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Agaricomycetes,class,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Amylocorticium cebennense,species,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Ascomycota,phylum,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Auranticordis quadriverberis,species,Imbricatea,32,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Basidiomycota,phylum,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Cercozoa,phylum,Imbricatea,12,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Chaetoceros,genus,Bacillariophyceae,569.2801896,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,39,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Curvibasidium,genus,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Cyranomonas australis,species,Imbricatea,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Decapoda,order,Decapod,25947.29264,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Dichomitus squalens,species,Fungi,66,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Ebria tripartita,species,Ebriophyceae,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Gastropoda,class,Gastropoda,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Mamiellaceae,family,Mamiellophyceae,14,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Mammalia,class,Mammalia,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Mataza hastifera,species,Thecofilosea,22,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Pleurocybella porrigens,species,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Polychaeta,class,Polychaeta,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Schizoporaceae,family,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Strombidium biarmatum,species,Spirotrichea,86,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Thaumatomonadida,order,Imbricatea,33,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Tintinnidium cf. primitivum,species,Spirotrichea,13,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Tremellales,order,Fungi,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,Triparmaceae,family,Bolidophyceae,0,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-1-18S,NA,NA,NA,118,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Actinopteri,class,Actinopteri,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Agaricales,order,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Agaricomycetes,class,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Amylocorticium cebennense,species,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Ascomycota,phylum,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Auranticordis quadriverberis,species,Imbricatea,20,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Basidiomycota,phylum,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Cercozoa,phylum,Imbricatea,16,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Chaetoceros,genus,Bacillariophyceae,459.3769055,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,8,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Curvibasidium,genus,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Cyranomonas australis,species,Imbricatea,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Decapoda,order,Decapod,25508.70188,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Dichomitus squalens,species,Fungi,44,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Ebria tripartita,species,Ebriophyceae,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Esquamula lacrimiformis,species,Imbricatea,17,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Gastropoda,class,Gastropoda,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Mamiellaceae,family,Mamiellophyceae,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Mammalia,class,Mammalia,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Mataza hastifera,species,Thecofilosea,11,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Pleurocybella porrigens,species,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Polychaeta,class,Polychaeta,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Schizoporaceae,family,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Strombidium biarmatum,species,Spirotrichea,56,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Thaumatomonadida,order,Imbricatea,23,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Tintinnidium cf. primitivum,species,Spirotrichea,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Tremellales,order,Fungi,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,Triparmaceae,family,Bolidophyceae,0,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02802-2-18S,NA,NA,NA,94,e02802,18S,2,162-35,2022,12,2,Haul 4,sample
e02803-1-18S,Actinopteri,class,Actinopteri,73,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Agaricales,order,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Agaricomycetes,class,Fungi,2442,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Amylocorticium cebennense,species,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Ascomycota,phylum,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Auranticordis quadriverberis,species,Imbricatea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Basidiomycota,phylum,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Cercozoa,phylum,Imbricatea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Chaetoceros,genus,Bacillariophyceae,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Curvibasidium,genus,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Cyranomonas australis,species,Imbricatea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Decapoda,order,Decapod,3322.328427,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Dichomitus squalens,species,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Ebria tripartita,species,Ebriophyceae,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Gastropoda,class,Gastropoda,23847,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Mamiellaceae,family,Mamiellophyceae,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Mammalia,class,Mammalia,265,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Mataza hastifera,species,Thecofilosea,17,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Pleurocybella porrigens,species,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Polychaeta,class,Polychaeta,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Schizoporaceae,family,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Strombidium biarmatum,species,Spirotrichea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Thaumatomonadida,order,Imbricatea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Tintinnidium cf. primitivum,species,Spirotrichea,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Tremellales,order,Fungi,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,Triparmaceae,family,Bolidophyceae,0,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-1-18S,NA,NA,NA,238,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Actinopteri,class,Actinopteri,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Agaricales,order,Fungi,99,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Agaricomycetes,class,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Amylocorticium cebennense,species,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Ascomycota,phylum,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Auranticordis quadriverberis,species,Imbricatea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Basidiomycota,phylum,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Cercozoa,phylum,Imbricatea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Chaetoceros,genus,Bacillariophyceae,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Curvibasidium,genus,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Cyranomonas australis,species,Imbricatea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Decapoda,order,Decapod,5299.29697,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Dichomitus squalens,species,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Ebria tripartita,species,Ebriophyceae,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Gastropoda,class,Gastropoda,11891,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Mamiellaceae,family,Mamiellophyceae,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Mammalia,class,Mammalia,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Mataza hastifera,species,Thecofilosea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Pleurocybella porrigens,species,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Polychaeta,class,Polychaeta,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Schizoporaceae,family,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Strombidium biarmatum,species,Spirotrichea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Thaumatomonadida,order,Imbricatea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Tintinnidium cf. primitivum,species,Spirotrichea,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Tremellales,order,Fungi,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,Triparmaceae,family,Bolidophyceae,0,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02803-2-18S,NA,NA,NA,677,e02803,18S,2,162-31,2022,12,2,Haul 4,sample
e02804-1-18S,Actinopteri,class,Actinopteri,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Agaricales,order,Fungi,628,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Agaricomycetes,class,Fungi,710,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Amylocorticium cebennense,species,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Ascomycota,phylum,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Auranticordis quadriverberis,species,Imbricatea,4232,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Basidiomycota,phylum,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Cercozoa,phylum,Imbricatea,1552,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Chaetoceros,genus,Bacillariophyceae,1436.978617,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Curvibasidium,genus,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Cyranomonas australis,species,Imbricatea,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Decapoda,order,Decapod,5633.247908,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Dichomitus squalens,species,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Ebria tripartita,species,Ebriophyceae,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Gastropoda,class,Gastropoda,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Mamiellaceae,family,Mamiellophyceae,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Mammalia,class,Mammalia,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Mataza hastifera,species,Thecofilosea,1677,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Pleurocybella porrigens,species,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Polychaeta,class,Polychaeta,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Schizoporaceae,family,Fungi,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Strombidium biarmatum,species,Spirotrichea,163,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Thaumatomonadida,order,Imbricatea,196,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Tintinnidium cf. primitivum,species,Spirotrichea,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Tremellales,order,Fungi,1927,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,Triparmaceae,family,Bolidophyceae,0,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-1-18S,NA,NA,NA,828,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Actinopteri,class,Actinopteri,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Agaricales,order,Fungi,98,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Agaricomycetes,class,Fungi,3007,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Amylocorticium cebennense,species,Fungi,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Ascomycota,phylum,Fungi,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Ascomycota/Basidiomycota,phylum,Fungi,771,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Auranticordis quadriverberis,species,Imbricatea,1484,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Basidiomycota,phylum,Fungi,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Cercozoa,phylum,Imbricatea,3582,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Chaetoceros,genus,Bacillariophyceae,611.0383658,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Curvibasidium,genus,Fungi,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Cyranomonas australis,species,Imbricatea,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Decapoda,order,Decapod,7559.500722,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Dichomitus squalens,species,Fungi,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Ebria tripartita,species,Ebriophyceae,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
e02804-2-18S,Gastropoda,class,Gastropoda,0,e02804,18S,2,162-17,2022,12,7,Haul 2,sample
